Drogon.A1ModJulian,Drogon.EarthMJ2000Eq.X,Drogon.EarthMJ2000Eq.Y,Drogon.EarthMJ2000Eq.Z,Drogon.EarthMJ2000Eq.VX,Drogon.EarthMJ2000Eq.VY,Drogon.EarthMJ2000Eq.VZ
21545.00000039794,6871,0,0,0,5.385721793401427,5.385721793401427
21545.00069484238,6855.786928504361,322.9047822138405,322.904116808815,-0.506914653,5.373797299571037,5.373764021277596
21545.00171886356,6778.017826208893,796.0370200763217,796.026949976702,-1.249652102,5.312840134919508,5.31263698584756
21545.00278852381,6627.14335085474,1282.003633220024,1281.96080321955,-2.012502996,5.19458483909464,5.194053901355845
21545.00386347666,6405.424776716872,1756.805642110434,1756.692447702604,-2.757774811,5.020809918288763,5.01980165431548
21545.00493912163,6115.581425411885,2213.266902994135,2213.032408253247,-3.474190767,4.793654306220334,4.792030106403824
21545.00601495058,5760.75099238931,2646.304708341826,2645.885703196483,-4.153767823,4.515584763339819,4.513219313035481
21545.00709091568,5344.695378464397,3051.29290281407,3050.615238786116,-4.789247512,4.189555493817767,4.186339464166492
21545.00816700169,4871.824053096514,3423.917000195296,3422.897194184543,-5.373868109,3.819024724896588,3.814867355193081
21545.00924321949,4347.140938051648,3760.213923718445,3758.760983000678,-5.901425709,3.40791154889648,3.402742930234815
21545.01031957292,3776.203452686889,4056.600784796087,4054.618239047015,-6.36631733,2.960562694074058,2.954335753164683
21545.01139602789,3165.083540053533,4309.907087049879,4307.295211339969,-6.76358881,2.48172141017472,2.474413567614413
21545.01247254724,2520.288201496183,4517.422065670661,4514.080229848953,-7.089006123,1.976465308933911,1.968079712409778
21545.01354909186,1848.688861601424,4676.924663598942,4672.753777993694,-7.339099449,1.450151854049406,1.440718188127383
21545.01462563804,1157.43614504719,4786.70920103057,4781.614202231809,-7.511200793,0.9083531219540022,0.8979279599614836
21545.01570213958,453.9068524592436,4845.598913702132,4839.491293395886,-7.60346322,0.3568164037219083,0.3454831405956797
21545.01677854172,-254.3834296,4852.963730980641,4845.764027777162,-7.614887606,-0.198601677,-0.210733374
21545.0178547952,-959.871109,4808.728367672659,4800.368569603677,-7.54533526,-0.752003484,-0.764798703
21545.01893085251,-1655.024391,4713.372415789985,4703.798244438749,-7.39552913,-1.297510116,-1.310810186
21545.02000665083,-2332.414502,4567.927629252445,4557.10067972106,-7.167051702,-1.829314704,-1.84293912
21545.02108216808,-2984.83172,4373.959027411232,4361.858637468793,-6.862318455,-2.341771419,-2.355520207
21545.02215735697,-3605.32171,4133.555255928206,4120.180207723145,-6.484566554,-2.829422659,-2.843079113
21545.02323220884,-4187.298274,3849.293420877035,3834.663290962972,-6.037803827,-3.287087135,-3.300420913
21545.0243067095,-4724.586434,3524.21798716253,3508.374243390083,-5.526779842,-3.709894167,-3.722664684
21545.02538084609,-5211.492963,3161.807014307847,3144.813773587594,-4.956936715,-4.093340474,-4.105300569
21545.02645463333,-5642.877487,2765.924642861022,2747.869051673022,-4.334337553,-4.43334826,-4.444248041
21545.02752808301,-6014.190733,2340.788334490869,2321.780620799327,-3.665617061,-4.726298111,-4.735888966
21545.02860123976,-6321.533129,1890.909159544847,1871.082283300603,-2.957888489,-4.969078343,-4.977116993
21545.02967412162,-6561.674769,1421.067364371706,1400.576345107624,-2.218704724,-5.159104041,-5.165356692
21545.03074679418,-6732.107363,936.2302944094226,915.2511150155381,-1.455927335,-5.294361247,-5.298607598
21545.03181930802,-6831.051399,441.5264782124133,420.2546725563662,-0.677682734,-5.373415387,-5.375452626
21545.03289173752,-6857.479232,-57.8251014,-79.17622804,0.1077531543138724,-5.395431684,-5.39507826
21545.03396411871,-6811.122415,-556.5405408,-577.7420198,0.8919998406416566,-5.360182255,-5.357281571
21545.03503654074,-6692.474042,-1049.368157,-1070.177779,1.666730148718807,-5.268048535,-5.262472166
21545.03610905814,-6502.784041,-1531.102065,-1551.267097,2.423696593348139,-5.120016998,-5.111667786
21545.03718172184,-6244.048863,-1996.650854,-2015.911024,3.154843949574202,-4.917669698,-4.906484429
21545.03825460366,-5918.98328,-2441.100686,-2459.191373,3.852412163847853,-4.663159963,-4.649111556
21545.03932774342,-5531.006299,-2859.743666,-2876.399328,4.508983626529979,-4.359198532,-4.342297931
21545.04040117688,-5084.202177,-3248.140108,-3263.09785,5.117582351354009,-4.009019857,-3.989317371
21545.04147495083,-4583.271015,-3602.170023,-3615.173247,5.671754796021785,-3.616340134,-3.593926236
21545.04254905821,-4033.511591,-3918.055935,-3928.858177,6.165604406653149,-3.185340818,-3.160346574
21545.04362351203,-3440.734709,-4192.429652,-4200.798305,6.593893744562827,-2.720598123,-2.693194888
21545.04469831376,-2811.216514,-4422.357657,-4428.077717,6.952080787497525,-2.227044513,-2.19744315
21545.04577345785,-2151.631085,-4605.374893,-4608.252606,7.236367700523382,-1.709914791,-1.678364321
21545.04684890181,-1468.999871,-4739.509147,-4739.375596,7.443734649201912,-1.174706286,-1.141492019
21545.04792461759,-770.5860426,-4823.313284,-4820.02765,7.571985798515787,-0.627096761,-0.592537782
21545.04900056492,-63.83281037,-4855.877157,-4849.329792,7.619764065789934,-0.072897603,-0.037343764
21545.05007671402,643.7312541879252,-4836.839282,-4826.954408,7.586566143097756,0.4820182114707552,0.5181898215960768
