Rhaegal.A1ModJulian,Rhaegal.EarthMJ2000Eq.X,Rhaegal.EarthMJ2000Eq.Y,Rhaegal.EarthMJ2000Eq.Z,Rhaegal.EarthMJ2000Eq.VX,Rhaegal.EarthMJ2000Eq.VY,Rhaegal.EarthMJ2000Eq.VZ
21545.00000039794,-3435.507277,5950.47315347282,0,-5.712414553,-3.29806408,3.808276368417546
21545.00069484238,-3770.392644,5739.560506911401,228.3274492204635,-5.446309857,-3.729762107,3.799820965703975
21545.00171886356,-4233.339861,5382.477344358064,562.8754361627273,-5.010277457,-4.335675435,3.756596743443455
21545.0027883192,-4673.265627,4954.308164656382,906.4169530028921,-4.503485912,-4.923844973,3.67275914403231
21545.00386301161,-5065.92217,4471.662253233723,1242.023359614077,-3.946589231,-5.462831322,3.549565331257157
21545.00493843342,-5405.089342,3941.240796662595,1564.640690773554,-3.347418871,-5.944232637,3.388513326707544
21545.00601412043,-5686.943,3368.836874504662,1870.675873251838,-2.712525369,-6.362651545,3.191329677957852
21545.00708990846,-5908.413814,2760.59420512451,2156.812982672127,-2.048716464,-6.71354757,2.960118886226168
21545.00816568436,-6067.113744,2123.031137484087,2419.96974753696,-1.363092305,-6.993144718,2.697354192591915
21545.00924144345,-6161.352413,1462.922435335848,2657.339997764264,-0.662920457,-7.198466745,2.405824987850639
21545.01031715547,-6190.123661,787.2993805315486,2866.387069720779,0.04436146360166068,-7.327320054,2.088633026087525
21545.01139280215,-6153.121519,103.3521719818268,3044.88008125004,0.751248596318873,-7.378325677,1.74914997369279
21545.01246836791,-6050.740911,-581.6417122,3190.915055004038,1.450242178200523,-7.350929492,1.390983411806731
21545.01354383541,-5884.073384,-1260.392318,3302.934441539909,2.133925264348005,-7.245407258,1.017940135663927
21545.014619174,-5654.898754,-1925.667963,3379.743413506975,2.795033531679377,-7.062864624,0.6339904544101953
21545.01569437037,-5365.66075,-2570.391813,3420.525555024882,3.426550778973489,-6.805222025,0.2432157390829529
21545.01676941343,-5019.441455,-3187.707305,3424.848951470622,4.021771998009316,-6.475194306,-0.150229306
21545.0178442668,-4619.938977,-3771.036378,3392.671801950752,4.574359695125715,-6.07627373,-0.542150021
21545.01891891236,-4171.414852,-4314.175569,3324.343748359234,5.078435945104141,-5.612682312,-0.928371921
21545.01999331588,-3678.660719,-4811.344297,3220.603061833731,5.528627856600634,-5.089340923,-1.30477264
21545.02106748975,-3146.917871,-5257.275391,3082.562358472644,5.920151198300606,-4.511787742,-1.667347596
21545.02214140932,-2581.858657,-5647.232014,2911.704087516508,6.248826480415794,-3.886160757,-2.012223336
21545.0232150714,-1989.498622,-5977.084558,2709.858558921282,6.51114860569212,-3.219105034,-2.335719386
21545.02428846752,-1376.14499,-6243.343394,2479.187448055609,6.704316020729363,-2.517717094,-2.634379105
21545.02536162014,-748.3083249,-6443.203693,2222.152307103321,6.826267763998509,-1.789446001,-2.905016929
21545.02643452494,-112.6659886,-6574.560688,1941.500501512139,6.875697014064014,-1.042051946,-3.144737275
21545.02750721113,524.0438823069252,-6636.042391,1640.221341157227,6.852073259761578,-0.283482765,-3.350981348
21545.02857969378,1155.065932510013,-6627.015469,1321.5257737978,6.755644886594649,0.4781788757897288,-3.521543776
21545.02965198719,1773.707193068708,-6547.595349,988.8092181075529,6.587440780337368,1.234811905856691,-3.654601267
21545.03072413079,2373.422659665788,-6398.640893,645.6069647310798,6.349254453710271,1.978363282094128,-3.748735349
21545.03179617134,2947.872686458208,-6181.741455,295.5614957993902,6.043623392547454,2.700922004082297,-3.80294335
21545.03286814184,3490.977940584677,-5899.204157,-57.60891219,5.673808213611853,3.394790421466423,-3.816648495
21545.03394007831,3996.992814581698,-5554.027905,-410.1546467,5.24375463917688,4.052579680322521,-3.789708272
21545.03501201881,4460.564929058764,-5149.871181,-758.3340323,4.758050170769302,4.667289073447129,-3.722415493
21545.03608401433,4876.794765904961,-4691.007942,-1098.456081,4.221867692035879,5.232386779483982,-3.615493152
21545.0371560874,5241.27066462926,-4182.300141,-1426.906125,3.640929342487385,5.741858006482193,-3.470090078
21545.03822828043,5550.134525446532,-3629.126904,-1740.199261,3.021420635806761,6.19029539421306,-3.287763708
21545.03930063565,5800.112694102205,-3037.335204,-2035.010169,2.369931743404839,6.572943640786227,-3.070463329
21545.0403731826,5988.547929417169,-2413.186224,-2308.204697,1.693394263591617,6.885745189106789,-2.820511332
21545.04144594968,6113.431488833009,-1763.284372,-2556.876467,0.9990002220547091,7.125387637660005,-2.540576014
21545.04251893572,6173.4234315057,-1094.525963,-2778.371923,0.2941437074513647,7.289333549568037,-2.233650666
21545.04359216631,6167.873332880862,-413.9923744,-2970.331464,-0.41369475,7.375857820712602,-1.903006059
21545.04466565723,6096.822157266517,271.102620755822,-3130.705595,-1.117004017,7.384054552589419,-1.55216418
21545.04573939898,5961.006894876492,953.4785716382551,-3257.776187,-1.808311448,7.313848905754377,-1.184866726
21545.04681340312,5761.850053753988,1625.894854990639,-3350.181778,-2.480291614,7.165996351677441,-0.805020059
21545.04788764338,5501.45418762076,2281.190690682908,-3406.926363,-3.125805903,6.942079147954488,-0.416674075
21545.04896212648,5182.567024072484,2912.40542708409,-3427.396357,-3.738021069,6.644478813945733,-0.023954532
21545.0500368288,4808.56698294433,3512.814109378728,-3411.363542,-4.310442134,6.276362114201103,0.3689577404247493
21545.05111173335,4383.419383040046,4076.022155583761,-3358.990171,-4.837002562,5.841640441883182,0.7578840161470232
21545.05218681366,3911.639888151534,4596.025165040213,-3270.82772,-5.312119176,5.344933771009967,1.13868583373637
21545.05326205547,3398.237476582834,5067.284161198948,-3147.809731,-5.730760461,4.791512650419765,1.507316157245653
21545.05433743228,2848.671584303725,5484.773212781202,-2991.243864,-6.088488426,4.187253968512826,1.859853304816101
21545.05541292508,2268.784950969565,5844.042428983288,-2802.796105,-6.381513467,3.538569942003492,2.192549059568524
21545.05648851362,1664.745121616617,6141.261624427591,-2584.473785,-6.606730778,2.85234509759411,2.501865207915724
21545.05756417235,1042.981152142643,6373.2610869726,-2338.605325,-6.761753536,2.135867152441522,2.784510179847529
21545.05863988825,410.104526252339,6537.569615035442,-2067.811269,-6.844941446,1.396738447771332,3.03747890218774
21545.05971564248,-227.1511546,6632.436231547046,-1774.980048,-6.85541526,0.6428075468857647,3.258079810347866
21545.06079142516,-862.0107373,6656.850887382579,-1463.233274,-6.793067656,-0.117923961,3.443967095716977
21545.0618671655,-1487.689498,6610.557862311256,-1135.913326,-6.658573358,-0.877337505,3.593156225855804
21545.06294281844,-2097.518799,6494.066303814464,-796.5230737,-6.453383344,-1.627347036,3.70406383873585
21545.0640183068,-2684.98673,6308.647880862087,-448.7045961,-6.179717319,-2.359948275,3.775518108389226
21545.06509366003,-3243.883882,6056.29553142313,-96.15401065,-5.8405011,-3.067400079,3.806779086114423
21545.06616892222,-3768.311662,5739.698535978012,257.3900223696333,-5.439339745,-3.742238243,3.797529148521142
21545.06724415077,-4252.739604,5362.210624439684,608.1843826377821,-4.980476447,-4.377349277,3.747873390990851
21545.0683194122,-4692.057219,4927.813729130034,952.5180690009706,-4.468747495,-4.966038123,3.658336281908249
21545.06939477156,-5081.619821,4441.080574389835,1286.746078553996,-3.909536719,-5.502088626,3.529855968827746
21545.07047027668,-5417.291125,3907.137456360969,1607.321610536735,-3.308730541,-5.979819859,3.363777684753773
21545.07154596853,-5695.4922,3331.610629864495,1910.836124368699,-2.672655184,-6.394152119,3.161840903255562
21545.07262178002,-5913.222832,2720.629537586113,2194.029354147734,-2.008076864,-6.740631581,2.926186385276699
21545.07369757764,-6068.129535,2080.752874079049,2453.844725908388,-1.322115679,-7.015521567,2.659338760355451
21545.07477334776,-6158.562028,1418.78589215639,2687.509878051187,-0.622048434,-7.215894833,2.364133465325067
21545.07584907521,-6183.556451,741.7706930820754,2892.531154543879,0.0846984307682761,-7.339613773,2.0437073753002
21545.07692473695,-6142.84644,56.91527850594634,3066.719489833227,0.7906230030024357,-7.385352717,1.701467653217217
21545.07800031888,-6036.866102,-628.4940203,3208.216934698204,1.488237909982501,-7.352613025,1.34105055433935
21545.07907578782,-5866.747889,-1307.152769,3315.512817067215,2.170130994153384,-7.241728617,0.9662922508885757
21545.08015113999,-5634.304176,-1971.847084,3387.465448783666,2.829073963084872,-7.053859042,0.5811719508384439
21545.0812263409,-5342.017551,-2615.493084,3423.308526178567,3.458060349797403,-6.790983992,0.1897909926464906
21545.08230137438,-4993.00555,-3231.243339,3422.663684775519,4.05040978535561,-6.45587684,-0.203687415
21545.08337620863,-4590.996094,-3812.540105,3385.543295311939,4.59981875758524,-6.052084217,-0.595069804
21545.08445083567,-4140.273941,-4353.207522,3312.349715866625,5.10044838989544,-5.583876457,-0.980190982
21545.08552523611,-3645.646639,-4847.49782,3203.871268550778,5.5469676433184,-5.05621547,-1.354945168
21545.08659939696,-3112.386453,-5290.162356,3061.273148983527,5.934619681409465,-4.474697184,-1.715336013
21545.08767329813,-2546.180225,-5676.502063,2886.086460057315,6.259268570102721,-3.845500624,-2.057514829
21545.08874693391,-1953.057341,-6002.426004,2680.188504527364,6.517452006099005,-3.175311418,-2.377829103
21545.08982031034,-1339.324957,-6264.490914,2445.781307250067,6.706415782,-2.471250928,-2.672860197
